address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
"14918 96 A Avenue, Surrey, BC",4,2,3113 sqft,,6,"$5,219",1988,R2875038,Residential,Yes,,$449,23/04/2024,"$1,520,000",21/04/2024,"$1,398,000"
"102 - 14147 104 Avenue, Surrey, BC",3,1,1236 sqft,,1,"$2,406",1973,R2853808,Residential,No,,$589,22/04/2024,"$700,000",22/02/2024,"$728,900"
"75 - 15688 28 Avenue, Surrey, BC",4,1,1866 sqft,,2,"$3,377",2017,R2869810,Residential,Yes,,$658,22/04/2024,"$1,205,000",09/04/2024,"$1,228,000"
"13 - 15273 24 Avenue, Surrey, BC",3,2,1640 sqft,,2,"$2,892",1992,R2868413,Residential,Yes,,$536,22/04/2024,"$855,000",07/04/2024,"$880,000"
"18719 60 A Avenue, Surrey, BC",4,2,2536 sqft,,7,"$4,940",1989,R2862414,Residential,Yes,,$574,22/04/2024,"$1,450,000",25/03/2024,"$1,458,000"
"103 - 9940 151 Street, Surrey, BC",2,2,1012 sqft,,2,"$2,196",1993,R2867041,Residential,Yes,,$518,22/04/2024,"$545,000",07/04/2024,"$525,000"
"801 - 13655 Fraser Highway, Surrey, BC",1,1,493 sqft,,1,"$1,855",2021,R2866459,Residential,Yes,,$993,,,,
"1 - 6055 138 Street, Surrey, BC",3,2,1594 sqft,,2,"$3,225",2016,R2871109,Residential,Yes,,$533,,,,
"16411 28 Avenue, Surrey, BC",9,8,7249 sqft,,0,"$5,915",2023,R2859076,Residential,No,,$472,-,Not Sold Yet,13/05/2024,"$3,350,000"
"608 - 13963 105 Boulevard, Surrey, BC",2,2,899 sqft,,2,"$2,227",2019,R2867902,Residential,Yes,,$711,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"74 - 14468 73 A Avenue, Surrey, BC",3,2,1433 sqft,,0,"$3,107",1999,R2866464,Residential,Yes,,$606,22/04/2024,"$840,000",02/04/2024,"$869,000"
"129 173 Street, Surrey, BC",4,2,2495 sqft,,3,"$4,623",2010,R2869216,Residential,Yes,,$572,22/04/2024,"$1,410,000",09/04/2024,"$1,429,000"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,1640 sqft,,2,,2024,R2861730,Residential,Yes,,$609,,,,
"21 - 14905 60 Avenue, Surrey, BC",3,2,1374 sqft,,2,"$3,029",2013,R2872259,Residential,Yes,,$582,22/04/2024,"$815,000",16/04/2024,"$799,900"
"16471 88 Avenue, Surrey, BC",6,3,4172 sqft,,9,"$6,686",1993,R2867402,Residential,Yes,,$479,22/04/2024,"$2,000,000",07/04/2024,"$1,999,000"
"16662 102 Avenue, Surrey, BC",5,3,3002 sqft,,2,"$6,369",1996,R2872202,Residential,Yes,,$565,,,,
"3209 - 13688 100 Avenue, Surrey, BC",2,2,844 sqft,,1,"$2,292",2011,R2853168,Residential,Yes,,$767,,,,
"11022 156 A Street, Surrey, BC",8,6,5315 sqft,,7,"$2,023",2021,R2850088,Residential,Yes,,$482,21/04/2024,"$2,430,000",13/02/2024,"$2,565,000"
"16 - 5858 142 Street, Surrey, BC",2,2,1356 sqft,,2,"$3,060",2014,R2868071,Residential,Yes,,$582,21/04/2024,"$795,000",07/04/2024,"$790,000"
"512 - 14333 104 Avenue, Surrey, BC",3,2,1113 sqft,,0,"$2,331",2009,R2868435,Residential,Yes,,$592,21/04/2024,"$644,900",07/04/2024,"$659,000"
"7285 140 Street, Surrey, BC",5,2,2105 sqft,,6,"$4,723",1956,R2870513,Residential,Yes,,$702,21/04/2024,"$1,534,000",14/04/2024,"$1,479,000"
"2606 - 13696 100 Avenue, Surrey, BC",2,2,785 sqft,,1,"$2,474",2017,R2872523,Residential,Yes,,$813,21/04/2024,"$645,000",17/04/2024,"$638,888"
"48 - 1959 165 A Street, Surrey, BC",3,2,1394 sqft,,2,,2024,R2872867,Residential,Yes,,$702,21/04/2024,"$979,900",18/04/2024,"$979,900"
"204 - 15130 108 Avenue, Surrey, BC",2,2,1047 sqft,,1,"$2,056",1996,R2868578,Residential,Yes,,$561,21/04/2024,"$575,000",08/04/2024,"$588,000"
"13871 80 A Avenue, Surrey, BC",5,3,2219 sqft,,4,"$5,141",1986,R2870504,Residential,No,,$540,21/04/2024,"$1,220,000",14/04/2024,"$1,199,000"
"1 - 19180 65 Avenue, Surrey, BC",4,2,1664 sqft,,0,"$3,060",2013,R2857243,Residential,Yes,,$531,21/04/2024,"$885,000",07/03/2024,"$885,000"
"7732 142 Street, Surrey, BC",6,3,2808 sqft,,0,,1989,R2869171,Residential,Yes,,$454,21/04/2024,"$1,250,000",09/04/2024,"$1,275,000"
"2739 Cranley Drive, Surrey, BC",4,3,2304 sqft,,8,"$4,521",1992,R2859188,Residential,Yes,,$715,21/04/2024,"$1,600,000",12/03/2024,"$1,648,888"
"803 - 13750 100 Avenue, Surrey, BC",1,1,534 sqft,,1,"$1,937",2017,R2855792,Residential,Yes,,$971,,,,
"1202 - 10899 University Drive, Surrey, BC",2,2,1161 sqft,,1,"$2,323",1995,R2872868,Residential,Yes,,$495,21/04/2024,"$588,000",18/04/2024,"$575,000"
"9759 Princess Drive Street, Surrey, BC",6,2,2092 sqft,,3,"$4,116",1958,R2866985,Residential,No,,$645,21/04/2024,"$1,325,000",31/03/2024,"$1,349,999"
"13073 66 A Avenue, Surrey, BC",3,2,1565 sqft,,2,"$4,148",1983,R2870726,Residential,Yes,,$750,21/04/2024,"$1,175,000",16/04/2024,"$1,175,000"
"1303 - 13308 Central Avenue, Surrey, BC",2,2,809 sqft,,1,"$2,412",2018,R2850788,Residential,Yes,,$728,21/04/2024,"$580,000",19/02/2024,"$589,000"
"132 - 1833 165 A Street, Surrey, BC",3,2,1427 sqft,,2,,2025,R2861535,Residential,Yes,,$672,21/04/2024,"$959,900",19/03/2024,"$959,900"
"10216 170 A Street, Surrey, BC",5,2,2804 sqft,,6,"$5,502",1993,R2871532,Residential,Yes,,$534,21/04/2024,"$1,665,000",14/04/2024,"$1,499,000"
"312 - 8139 121 A Street, Surrey, BC",2,2,1162 sqft,,1,"$2,182",1995,R2868285,Residential,Yes,,$529,21/04/2024,"$610,000",08/04/2024,"$615,000"
"421 - 15268 105 Avenue, Surrey, BC",2,2,965 sqft,,2,,1995,R2870674,Residential,Yes,,$569,,,,
"41 - 18983 72 A Avenue, Surrey, BC",2,2,1449 sqft,,2,"$3,021",2007,R2871794,Residential,Yes,,$552,21/04/2024,"$825,000",16/04/2024,"$799,900"
"171 - 2228 162 Street, Surrey, BC",2,2,1175 sqft,,2,"$2,588",2014,R2871759,Residential,No,,$676,,,,
"36 - 13499 92 Avenue, Surrey, BC",3,2,1290 sqft,,2,"$2,878",1997,R2859618,Residential,Yes,,$681,21/04/2024,"$834,500",13/03/2024,"$879,000"
"12569 113b Avenue, Surrey, BC",6,3,2505 sqft,,8,"$3,968",1969,R2870351,Residential,No,,$478,21/04/2024,"$1,340,000",14/04/2024,"$1,199,000"
"4 - 17155 79 A Avenue, Surrey, BC",3,2,1520 sqft,,2,,2025,R2869648,Residential,Yes,,$618,21/04/2024,"$929,900",10/04/2024,"$939,900"
"317 - 7171 121 Street, Surrey, BC",2,2,1333 sqft,,2,"$2,088",1991,R2870371,Residential,Yes,,$450,,,,
"36 - 6785 193 Street, Surrey, BC",3,2,1961 sqft,,3,"$3,391",2007,R2870035,Residential,Yes,,$458,21/04/2024,"$946,000",14/04/2024,"$899,900"
"12728 16 Avenue, Surrey, BC",3,2,1797 sqft,,4,"$4,316",1976,R2871886,Residential,Yes,,$723,21/04/2024,"$1,312,000",16/04/2024,"$1,300,000"
"16268 79 A Avenue, Surrey, BC",4,2,2997 sqft,,5,"$5,053",1988,R2872824,Residential,Yes,,$520,21/04/2024,"$1,559,000",17/04/2024,"$1,559,000"
"15466 92 A Avenue, Surrey, BC",5,3,2509 sqft,,6,"$5,189",1986,R2872476,Residential,Yes,,$637,21/04/2024,"$1,675,000",17/04/2024,"$1,599,000"
"187 - 16177 83 Avenue, Surrey, BC",2,1,1145 sqft,,2,"$2,740",2006,R2866634,Residential,No,,$636,21/04/2024,"$720,000",02/04/2024,"$729,000"
"15 - 6533 121 Street, Surrey, BC",3,2,1390 sqft,,2,"$3,068",2002,R2869646,Residential,Yes,,$575,21/04/2024,"$810,000",10/04/2024,"$799,999"
"33 - 6280 King George Boulevard, Surrey, BC",2,1,955 sqft,,2,$216,1972,R2871041,Residential,No,,$250,21/04/2024,"$246,000",14/04/2024,"$239,000"
"504 - 13768 108 Avenue, Surrey, BC",1,1,493 sqft,,1,"$1,695",2018,R2871303,Residential,Yes,,$862,21/04/2024,"$412,500",14/04/2024,"$425,000"
"18566 67 A Avenue, Surrey, BC",5,3,2615 sqft,,3,"$4,386",2005,R2870101,Residential,Yes,,$516,21/04/2024,"$1,387,000",14/04/2024,"$1,349,900"
"405 - 15918 26 Avenue, Surrey, BC",1,1,688 sqft,,1,"$1,880",2009,R2867380,Residential,Yes,,$796,20/04/2024,"$535,000",09/04/2024,"$548,000"
"56 - 16388 85 Avenue, Surrey, BC",3,2,1700 sqft,,2,"$2,994",2002,R2870648,Residential,Yes,,$515,20/04/2024,"$867,000",14/04/2024,"$875,900"
"15 - 5858 142 Street, Surrey, BC",2,2,1387 sqft,,2,"$3,060",2015,R2871711,Residential,No,,$569,20/04/2024,"$795,000",16/04/2024,"$789,900"
"111 - 16350 14 Th Avenue, Surrey, BC",3,2,1745 sqft,,2,"$2,902",1988,R2872701,Residential,Yes,,$515,20/04/2024,"$892,400",18/04/2024,"$899,900"
"35 - 8418 163 Street, Surrey, BC",3,2,1546 sqft,,2,"$3,153",2010,R2871760,Residential,Yes,,$581,20/04/2024,"$886,555",16/04/2024,"$899,000"
"11164 160 Street, Surrey, BC",5,4,3092 sqft,,6,"$5,359",1999,R2854111,Residential,Yes,,$611,20/04/2024,"$1,750,000",27/02/2024,"$1,890,000"
"18968 72 Avenue, Surrey, BC",5,4,3202 sqft,,3,"$5,470",2005,R2871034,Residential,Yes,,$468,20/04/2024,"$1,515,000",14/04/2024,"$1,499,999"
"16707 25a Avenue, Surrey, BC",5,3,2972 sqft,,4,"$4,492",2023,R2868994,Residential,Yes,,$603,-,-,09/04/2024,"$1,795,000"
"9085 Alexandria Crescent, Surrey, BC",6,3,2500 sqft,,6,"$4,801",1973,R2870367,Residential,No,,$579,20/04/2024,"$1,500,000",14/04/2024,"$1,449,000"
"209 - 13799 101 Avenue, Surrey, BC",1,1,740 sqft,,1,"$1,976",2020,R2854488,Residential,Yes,,$767,20/04/2024,"$540,000",27/02/2024,"$568,000"
"21 - 8250 121 A Street, Surrey, BC",3,2,1731 sqft,,2,"$2,781",1988,R2860734,Residential,Yes,,$499,20/04/2024,"$850,000",19/03/2024,"$865,000"
"14858 17 Avenue, Surrey, BC",3,2,1808 sqft,,3,"$4,896",1981,R2872511,Residential,Yes,,$801,20/04/2024,"$1,450,000",17/04/2024,"$1,450,000"
"205 - 10082 148 Street, Surrey, BC",1,2,881 sqft,,1,"$1,815",1993,R2864405,Residential,Yes,,$552,,,,
"3 - 14855 100 Avenue, Surrey, BC",2,1,1100 sqft,,2,"$2,484",2004,R2864864,Residential,Yes,,$625,20/04/2024,"$657,500",01/04/2024,"$688,000"
"7 - 8767 162 Street, Surrey, BC",2,1,1200 sqft,,2,"$2,506",2011,R2865070,Residential,Yes,,$624,20/04/2024,"$740,000",01/04/2024,"$749,900"
"220 - 13768 108 Avenue, Surrey, BC",1,1,423 sqft,,1,"$1,571",2018,R2863066,Residential,Yes,,$982,,,,
"17 - 7247 140 Street, Surrey, BC",2,1,640 sqft,,1,"$1,968",2017,R2871265,Residential,Yes,,$890,20/04/2024,"$560,000",15/04/2024,"$570,000"
"112 - 13321 102a Avenue, Surrey, BC",1,1,477 sqft,,0,"$1,647",2009,R2868717,Residential,Yes,,$836,20/04/2024,"$395,000",08/04/2024,"$398,800"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"15872 109 Avenue, Surrey, BC",5,4,5257 sqft,,6,"$6,785",2005,R2855852,Residential,Yes,,$437,19/04/2024,"$2,140,000",04/03/2024,"$2,299,000"
"38 - 15065 58 Avenue, Surrey, BC",3,3,1614 sqft,,2,"$2,900",2001,R2862485,Residential,Yes,,$516,19/04/2024,"$825,000",25/03/2024,"$833,800"
"16763 15 Avenue, Surrey, BC",9,5,4525 sqft,,4,"$3,106",2023,R2838694,Residential,Yes,,$464,18/04/2024,"$2,060,000",03/01/2024,"$2,099,999"
"312 - 13344 102 A Avenue, Surrey, BC",1,1,706 sqft,,1,"$1,588",1982,R2871713,Residential,Yes,,$566,18/04/2024,"$398,000",16/04/2024,"$399,900"
"5 - 14450 68 Avenue, Surrey, BC",3,2,1348 sqft,,2,"$2,497",2016,R2868494,Residential,Yes,,$593,18/04/2024,"$834,700",08/04/2024,"$799,900"
"2638 Cedar Drive, Surrey, BC",3,1,1513 sqft,,4,"$7,149",1946,R2863191,Residential,Yes,,"$1,651",18/04/2024,"$2,400,000",25/03/2024,"$2,498,000"
"79 - 6465 184 A Street, Surrey, BC",4,3,2145 sqft,,3,"$3,029",1997,R2868918,Residential,Yes,,$465,18/04/2024,"$999,000",08/04/2024,"$999,000"
"13496 15a Avenue, Surrey, BC",4,3,2766 sqft,,2,"$6,774",1986,R2869116,Residential,Yes,,$650,18/04/2024,"$1,756,000",09/04/2024,"$1,798,000"
"23 - 8555 King George Boulevard, Surrey, BC",4,2,1258 sqft,,2,"$2,268",1979,R2867112,Residential,No,,$658,18/04/2024,"$800,000",09/04/2024,"$829,000"
"1607 - 10620 150 Street, Surrey, BC",2,1,1038 sqft,,1,"$1,981",1981,R2872001,Residential,No,,$537,18/04/2024,"$550,000",17/04/2024,"$558,000"
"205 - 10477 154 Street, Surrey, BC",2,2,786 sqft,,2,"$2,212",2014,R2869657,Residential,Yes,,$788,18/04/2024,"$615,000",11/04/2024,"$619,900"
"102 - 1860 E Southmere Crescent, Surrey, BC",2,1,923 sqft,,2,"$1,921",1981,R2869555,Residential,Yes,,$528,18/04/2024,"$485,000",10/04/2024,"$488,000"
"216 - 13897 Fraser Highway, Surrey, BC",1,1,700 sqft,,1,"$1,888",2011,R2852313,Residential,Yes,,$707,18/04/2024,"$483,000",21/02/2024,"$495,000"
"314 - 15195 36 Avenue, Surrey, BC",2,2,975 sqft,,2,"$2,852",2012,R2872148,Residential,Yes,,$819,18/04/2024,"$790,000",15/04/2024,"$799,000"
"14988 23 Avenue, Surrey, BC",3,2,2468 sqft,,4,"$6,156",2001,R2870205,Residential,Yes,,$840,,,,
"209 - 13780 76 Avenue, Surrey, BC",2,2,867 sqft,,2,"$2,022",1997,R2855653,Residential,Yes,,$668,18/04/2024,"$570,000",04/03/2024,"$579,900"
"14169 60 Avenue, Surrey, BC",5,3,2675 sqft,,5,"$5,668",2012,R2862608,Residential,Yes,,$522,17/04/2024,"$1,285,000",24/03/2024,"$1,399,000"
"42 - 8254 134 Street, Surrey, BC",2,2,1068 sqft,,2,$1,2023,R2847855,Residential,No,,$369,,,,
"503 - 1725 128 Street, Surrey, BC",2,2,1860 sqft,,2,"$3,825",1994,R2870705,Residential,Yes,,$857,17/04/2024,"$1,600,000",14/04/2024,"$1,595,000"
"142 - 2853 Helc Place, Surrey, BC",4,3,2817 sqft,,2,"$4,378",2016,R2870174,Residential,Yes,,$531,17/04/2024,"$1,480,000",10/04/2024,"$1,498,000"
"5927 129 B Street, Surrey, BC",6,4,3490 sqft,,8,"$6,672",2011,R2866524,Residential,Yes,,$444,17/04/2024,"$1,578,000",03/04/2024,"$1,549,990"
"81 - 13898 64 Avenue, Surrey, BC",4,3,1615 sqft,,2,"$3,415",2021,R2860711,Residential,No,,$569,,,,
"1408 - 13688 100 Avenue, Surrey, BC",2,1,766 sqft,,1,"$2,110",2011,R2872280,Residential,Yes,,$742,17/04/2024,"$560,800",17/04/2024,"$569,000"
"2 - 16561 17 A Avenue, Surrey, BC",4,3,2248 sqft,,4,"$4,111",2023,R2869596,Residential,Yes,,$577,17/04/2024,"$1,275,000",10/04/2024,"$1,299,000"
"6077 E Greenside Drive, Surrey, BC",2,1,1079 sqft,,2,"$2,266",1979,R2872194,Residential,No,,$611,17/04/2024,"$679,000",16/04/2024,"$659,900"
"1808 - 10626 City Parkway, Surrey, BC",0,1,388 sqft,,1,,2023,R2862880,Residential,Yes,,"$1,025",17/04/2024,"$394,980",24/03/2024,"$398,000"
"311 - 8717 160 Street, Surrey, BC",2,2,886 sqft,,1,"$2,262",2008,R2843975,Residential,Yes,,$711,17/04/2024,"$625,000",20/01/2024,"$629,999"
"2 - 6378 142 Street, Surrey, BC",4,2,1510 sqft,,3,"$2,834",2013,R2857523,Residential,Yes,,$595,17/04/2024,"$900,000",10/03/2024,"$899,800"
"1231 164 Street, Surrey, BC",4,3,1694 sqft,,4,"$4,917",1978,R2860736,Residential,No,,$907,17/04/2024,"$1,500,000",18/03/2024,"$1,538,000"
"16670 85 Avenue, Surrey, BC",7,4,4124 sqft,,4,"$5,577",1997,R2863919,Residential,No,,$433,17/04/2024,"$1,775,000",24/03/2024,"$1,789,000"
"11060 131a Street, Surrey, BC",7,5,3088 sqft,,2,"$7,041",1998,R2860094,Residential,Yes,,$566,,,,
"127 - 19525 73 Avenue, Surrey, BC",3,2,1470 sqft,,2,"$2,870",2014,R2871538,Residential,Yes,,$577,16/04/2024,"$835,000",15/04/2024,"$848,800"
"3492 150 A Street, Surrey, BC",6,4,3541 sqft,,6,"$5,629",2003,R2867114,Residential,Yes,,$521,16/04/2024,"$1,823,000",07/04/2024,"$1,848,000"
"6030 189 Street, Surrey, BC",4,2,2174 sqft,,6,"$4,775",1991,R2869155,Residential,Yes,,$685,16/04/2024,"$1,450,000",09/04/2024,"$1,489,900"
"32 - 15355 26 Avenue, Surrey, BC",3,2,1240 sqft,,2,"$2,330",2000,R2867157,Residential,Yes,,$620,,,,
"12957 98 A Avenue, Surrey, BC",4,2,2220 sqft,,4,"$5,496",1957,R2853279,Residential,No,,$664,16/04/2024,"$1,400,000",26/02/2024,"$1,475,000"
"408 - 14550 Winter Crescent, Surrey, BC",2,2,920 sqft,,1,"$2,420",2019,R2858222,Residential,Yes,,$759,16/04/2024,"$689,250",10/03/2024,"$699,000"
"23 - 6555 192 A Street, Surrey, BC",2,2,1457 sqft,,3,"$3,002",2005,R2870303,Residential,Yes,,$514,,,,
"17716 69 Avenue, Surrey, BC",5,3,3447 sqft,,6,"$6,195",2010,R2870711,Residential,Yes,,$507,16/04/2024,"$1,725,000",14/04/2024,"$1,749,000"
"422 - 13968 Laurel Drive, Surrey, BC",2,1,584 sqft,,1,,2024,R2854070,Residential,Yes,,$821,16/04/2024,"$485,107",25/02/2024,"$480,000"
,,,,,,,,,,Yes,,$735,,,,
"11 - 9652 162 A Street, Surrey, BC",4,3,1640 sqft,,2,,2024,R2861152,Residential,Yes,,$640,16/04/2024,"$1,000,000",17/03/2024,"$1,049,999"
"38 - 9718 161a Street, Surrey, BC",4,3,1699 sqft,,2,"$3,126",2019,R2864649,Residential,Yes,,$605,16/04/2024,"$997,000",31/03/2024,"$1,029,000"
"111 - 10468 148 Street, Surrey, BC",1,1,739 sqft,,1,"$1,702",1986,R2870724,Residential,Yes,,$500,,,,
"37 - 15055 20 Avenue, Surrey, BC",2,2,1274 sqft,,2,"$2,722",2000,R2871086,Residential,Yes,,$705,16/04/2024,"$910,000",14/04/2024,"$899,000"
"101 - 15436 31 Avenue, Surrey, BC",3,2,1178 sqft,,2,"$2,654",2020,R2864335,Residential,Yes,,$679,16/04/2024,"$787,500",02/04/2024,"$800,000"
"44 - 14541 Winter Crescent, Surrey, BC",2,2,1249 sqft,,2,"$2,679",2021,R2866880,Residential,No,,$676,16/04/2024,"$824,000",07/04/2024,"$845,000"
"10 - 14877 33 Avenue, Surrey, BC",3,3,1714 sqft,,4,"$3,796",1998,R2853954,Residential,Yes,,$612,16/04/2024,"$1,050,000",05/03/2024,"$1,049,900"
"49 - 2350 165 Street, Surrey, BC",2,3,1249 sqft,,2,,2024,R2843368,Residential,No,,$672,,,,
,,,,,,,,,Residential,Yes,,$606,,,,
"114 - 13728 108 Avenue, Surrey, BC",1,1,423 sqft,,0,"$1,573",2012,R2864200,Residential,Yes,,$862,16/04/2024,"$365,000",01/04/2024,"$365,000"
"60 - 14058 61 Avenue, Surrey, BC",4,3,2021 sqft,,2,"$3,457",2016,R2868850,Residential,Yes,,$568,16/04/2024,"$1,125,000",08/04/2024,"$1,149,000"
"6072 172 Street, Surrey, BC",5,3,2512 sqft,,7,"$4,946",1981,R2871220,Residential,No,,$636,16/04/2024,"$1,599,800",16/04/2024,"$1,599,800"
"10 - 2688 150 Street, Surrey, BC",2,2,2099 sqft,,2,"$3,788",1990,R2863161,Residential,Yes,,$614,16/04/2024,"$1,290,000",24/03/2024,"$1,290,000"
"202 - 10720 138 Street, Surrey, BC",2,2,1097 sqft,,1,"$1,965",1991,R2868360,Residential,Yes,,$490,16/04/2024,"$555,000",05/04/2024,"$538,000"
"607 - 10661 137 A Street, Surrey, BC",1,1,501 sqft,,1,,2024,R2866226,Residential,Yes,,$796,16/04/2024,"$410,000",02/04/2024,"$399,000"
"81 - 19250 65 Avenue, Surrey, BC",2,2,1132 sqft,,3,"$2,710",2006,R2868009,Residential,Yes,,$618,15/04/2024,"$755,000",07/04/2024,"$699,900"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"14539 60 Th Avenue, Surrey, BC",5,3,2585 sqft,,4,"$4,993",2008,R2860735,Residential,Yes,,$541,,,,
"38 - 8266 King George Boulevard, Surrey, BC",2,1,768 sqft,,3,,1976,R2870165,Residential,No,,$240,15/04/2024,"$184,200",14/04/2024,"$185,000"
"36 - 7238 189 Street, Surrey, BC",2,3,1487 sqft,,2,"$2,770",2009,R2868812,Residential,Yes,,$537,15/04/2024,"$797,555",10/04/2024,"$799,000"
"6553 193 A Street, Surrey, BC",4,3,2128 sqft,,2,"$4,493",2005,R2865586,Residential,Yes,,$637,15/04/2024,"$1,332,500",01/04/2024,"$1,357,653"
"2006 - 13383 108 Avenue, Surrey, BC",2,2,999 sqft,,1,"$2,124",1994,R2868521,Residential,Yes,,$599,15/04/2024,"$599,000",07/04/2024,"$599,000"
"412 - 15850 26 Avenue, Surrey, BC",2,2,829 sqft,,2,"$2,252",2010,R2858715,Residential,Yes,,$770,,,,
"18371 59 A Avenue, Surrey, BC",4,2,2145 sqft,,5,"$4,497",1984,R2866974,Residential,Yes,,$605,15/04/2024,"$1,282,000",03/04/2024,"$1,299,000"
"508 - 16380 64 Avenue, Surrey, BC",2,2,838 sqft,,2,"$2,257",2016,R2869482,Residential,Yes,,$763,15/04/2024,"$625,000",09/04/2024,"$640,000"
"6297 187 A Street, Surrey, BC",5,2,2250 sqft,,6,"$5,017",1989,R2868277,Residential,Yes,,$577,15/04/2024,"$1,425,000",08/04/2024,"$1,299,000"
"409 - 10707 139 Street, Surrey, BC",2,2,928 sqft,,1,"$2,197",2008,R2866628,Residential,Yes,,$646,15/04/2024,"$595,000",03/04/2024,"$599,900"
"414 - 10788 139 Street, Surrey, BC",1,1,647 sqft,,1,"$1,796",2007,R2844411,Residential,Yes,,$718,15/04/2024,"$440,000",23/01/2024,"$465,000"
"304 - 15735 Croydon Drive, Surrey, BC",2,2,947 sqft,,1,"$2,291",2009,R2869195,Residential,Yes,,$685,,,,
"111 - 1833 165 A Street, Surrey, BC",4,2,1491 sqft,,2,,2024,R2872035,Residential,Yes,,$717,15/04/2024,"$1,069,900",15/04/2024,"$1,069,900"
"14681 110 Avenue, Surrey, BC",3,2,1410 sqft,,3,"$4,612",1957,R2864375,Residential,No,,$850,,,,
,,,,,,,,,,,,,,,,
"207 - 10455 University Drive, Surrey, BC",1,1,582 sqft,,1,"$1,650",2007,R2869253,Residential,Yes,,$771,15/04/2024,"$449,000",07/04/2024,"$449,000"
"205 - 2229 152 Street, Surrey, BC",2,2,980 sqft,,1,"$1,917",1993,R2865742,Residential,Yes,,$561,,,,
"2482 124b Street, Surrey, BC",3,2,2012 sqft,,6,"$6,024",1981,R2856263,Residential,Yes,,$844,15/04/2024,"$1,701,000",05/03/2024,"$1,699,900"
"402 - 6470 194 Street, Surrey, BC",2,2,933 sqft,,2,"$2,307",2017,R2863061,Residential,Yes,,$723,15/04/2024,"$650,000",25/03/2024,"$675,000"
"121 - 8068 120 A Street, Surrey, BC",2,1,913 sqft,,1,"$2,005",1996,R2869435,Residential,Yes,,$575,15/04/2024,"$535,000",14/04/2024,"$524,999"
"24 - 8428 Venture Way, Surrey, BC",3,2,1788 sqft,,2,"$3,349",1994,R2868309,Residential,Yes,,$523,15/04/2024,"$950,000",10/04/2024,"$935,900"
"961 Mcnally Creek Drive, Surrey, BC",4,4,3734 sqft,,4,"$6,035",2021,R2845738,Residential,Yes,,$615,15/04/2024,"$2,200,000",31/01/2024,"$2,298,000"
"3 - 19501 74 Avenue, Surrey, BC",3,2,1640 sqft,,2,"$2,936",2020,R2864261,Residential,Yes,,$579,15/04/2024,"$920,000",01/04/2024,"$949,900"
"404 - 13780 76 Avenue, Surrey, BC",2,2,937 sqft,,2,"$2,116",1997,R2870073,Residential,Yes,,$576,15/04/2024,"$513,000",12/04/2024,"$539,900"
"14055 Halifax Place, Surrey, BC",4,3,3558 sqft,,6,"$5,039",1984,R2862505,Residential,Yes,,$519,15/04/2024,"$1,750,000",24/03/2024,"$1,850,000"
"12548 102 Avenue, Surrey, BC",4,3,1800 sqft,,6,"$3,931",9999,R2840672,Residential,No,,$758,15/04/2024,"$1,365,000",09/01/2024,"$1,365,000"
"15786 23 B Avenue, Surrey, BC",5,3,2921 sqft,,3,"$5,682",2018,R2863842,Residential,Yes,,$567,15/04/2024,"$1,650,000",01/04/2024,"$1,658,000"
"68 - 18701 66 Avenue, Surrey, BC",3,2,1435 sqft,,2,"$2,941",2005,R2866116,Residential,Yes,,$563,,,,
"14946 22 A Avenue, Surrey, BC",4,3,2708 sqft,,0,"$6,140",1998,R2869213,Residential,Yes,,$738,14/04/2024,"$2,100,000",07/04/2024,"$1,999,000"
"2085 Ocean Forest Drive, Surrey, BC",3,2,2029 sqft,,6,"$5,398",1983,R2867212,Residential,Yes,,$825,14/04/2024,"$1,645,000",07/04/2024,"$1,674,900"
"55 - 18701 66 Avenue, Surrey, BC",3,2,1433 sqft,,2,"$2,938",2004,R2868772,Residential,Yes,,$544,14/04/2024,"$779,900",08/04/2024,"$779,900"
"16221 25 Avenue, Surrey, BC",5,3,3396 sqft,,4,"$5,509",2010,R2866607,Residential,Yes,,$588,,,,
"114 - 6030 142 Street, Surrey, BC",3,2,1398 sqft,,2,"$3,112",2018,R2866716,Residential,Yes,,$571,14/04/2024,"$845,000",07/04/2024,"$799,000"
"201 - 15628 104 Avenue, Surrey, BC",2,2,950 sqft,,0,"$2,271",2015,R2863510,Residential,Yes,,$689,14/04/2024,"$630,000",25/03/2024,"$655,000"
"18509 58 A Avenue, Surrey, BC",4,4,2656 sqft,,6,"$4,593",1985,R2859280,Residential,Yes,,$564,14/04/2024,"$1,485,000",14/03/2024,"$1,499,000"
"40 - 7121 192 Street, Surrey, BC",4,2,1720 sqft,,1,"$2,780",2012,R2853368,Residential,Yes,,$493,14/04/2024,"$840,000",26/02/2024,"$849,000"
