address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
"140 - 2450 161 A Street, Surrey, BC",2,2,1180 sqft,,2,"$3,035",2010,R2867043,Residential,Yes,,$677,01/05/2024,"$805,000",07/04/2024,"$799,900"
"402 - 9668 148 Street, Surrey, BC",1,1,416 sqft,,1,"$1,372",1998,R2873113,Residential,Yes,,$925,01/05/2024,"$380,000",22/04/2024,"$385,000"
"16770 17b Avenue, Surrey, BC",4,4,3616 sqft,,4,"$6,151",2018,R2869727,Residential,Yes,,$580,01/05/2024,"$2,058,888",09/04/2024,"$2,098,000"
"15124 92 A Avenue, Surrey, BC",4,2,2510 sqft,,6,"$5,891",1978,R2877336,Residential,Yes,,$597,,,,
"65 - 19250 65 Avenue, Surrey, BC",3,2,1389 sqft,,2,"$2,603",2004,R2861155,Residential,Yes,,$593,01/05/2024,"$823,000",17/03/2024,"$824,000"
"E502 - 10828 139 A Street, Surrey, BC",0,1,307 sqft,,1,,2024,R2844091,Residential,Yes,,"$1,022",01/05/2024,"$305,000",22/01/2024,"$314,000"
"123 - 7468 138 Street, Surrey, BC",2,1,1030 sqft,,1,"$1,979",1976,R2854285,Residential,No,,$629,,,,
"6073 172 B Street, Surrey, BC",3,2,1693 sqft,,8,"$4,848",1981,R2873909,Residential,Yes,,$826,30/04/2024,"$1,443,000",22/04/2024,"$1,399,000"
"16248 31 Avenue, Surrey, BC",5,3,3775 sqft,,7,"$7,285",2008,R2860926,Residential,Yes,,$688,30/04/2024,"$2,540,000",17/03/2024,"$2,599,000"
"218 - 15268 105 Avenue, Surrey, BC",1,1,737 sqft,,1,"$1,792",1995,R2874252,Residential,Yes,,$607,30/04/2024,"$408,000",22/04/2024,"$448,000"
"13941 80 A Avenue, Surrey, BC",3,1,1150 sqft,,3,"$3,879",1977,R2872134,Residential,No,,$852,30/04/2024,"$980,000",16/04/2024,"$979,900"
"7 - 2828 156 Street, Surrey, BC",4,3,2283 sqft,,2,"$3,829",2021,R2866193,Residential,Yes,,$547,30/04/2024,"$1,235,000",02/04/2024,"$1,249,900"
,,,,,,"$3,275",2003,R2862221,Residential,No,,$449,,,,
"202 - 10468 148 Street, Surrey, BC",1,1,688 sqft,,1,"$1,648",1986,R2876035,Residential,Yes,,$610,,,,
"5 - 6452 121 Street, Surrey, BC",3,2,1833 sqft,,4,"$3,330",1989,R2876184,Residential,Yes,,$507,,,,
"16768 63b Avenue, Surrey, BC",7,5,3705 sqft,,4,"$6,649",2007,R2872714,Residential,Yes,,$401,30/04/2024,"$1,500,000",21/04/2024,"$1,488,000"
"44 - 8383 159 Street, Surrey, BC",3,2,1613 sqft,,2,"$3,233",2002,R2877399,Residential,Yes,,$588,30/04/2024,"$949,000",25/04/2024,"$949,999"
"11145 159 Street, Surrey, BC",4,2,2995 sqft,,2,"$4,608",1993,R2875837,Residential,Yes,,$534,,,,
"803 - 15038 101 Avenue, Surrey, BC",2,2,1145 sqft,,2,"$2,077",1991,R2856125,Residential,Yes,,$580,,,,
"7258 128 Street, Surrey, BC",4,2,1495 sqft,,3,"$3,817",1985,R2842798,Residential,Yes,,$735,,,,
"15 - 9168 Fleetwood Way, Surrey, BC",2,2,1529 sqft,,1,"$2,522",1990,R2874443,Residential,Yes,,$483,30/04/2024,"$728,000",22/04/2024,"$740,000"
"7057 151 Street, Surrey, BC",9,5,4686 sqft,,8,"$8,009",2006,R2845761,Residential,Yes,,$411,30/04/2024,"$1,870,000",01/02/2024,"$1,930,000"
"59 - 15988 32 Avenue, Surrey, BC",5,3,2978 sqft,,2,"$4,536",2016,R2872490,Residential,Yes,,$486,30/04/2024,"$1,410,000",17/04/2024,"$1,449,000"
"7 - 17171 2 B Avenue, Surrey, BC",3,2,1467 sqft,,2,"$2,960",2012,R2871134,Residential,Yes,,$565,29/04/2024,"$815,000",15/04/2024,"$829,000"
"10565 132 Street, Surrey, BC",8,4,3144 sqft,,8,"$8,389",1959,R2872357,Residential,No,,$543,29/04/2024,"$1,810,800",15/04/2024,"$1,710,000"
"46 - 10238 155 A Street, Surrey, BC",3,2,1544 sqft,,2,"$3,090",1993,R2874625,Residential,Yes,,$569,29/04/2024,"$870,000",23/04/2024,"$879,900"
"2164 Cumbria Drive, Surrey, BC",2,2,1242 sqft,,2,"$2,375",1975,R2846607,Residential,No,,$442,29/04/2024,"$549,000",04/02/2024,"$549,000"
"123 - 15500 Rosemary Heights Crescent, Surrey, BC",3,2,2208 sqft,,2,"$4,251",2000,R2857546,Residential,Yes,,$515,29/04/2024,"$1,130,000",10/03/2024,"$1,138,000"
"34 - 15487 99 A Avenue, Surrey, BC",4,3,1678 sqft,,2,"$2,994",2022,R2877089,Residential,Yes,,$595,29/04/2024,"$1,063,000",29/04/2024,"$999,000"
"15780 23b Avenue, Surrey, BC",4,3,2540 sqft,,3,"$4,314",2001,R2868183,Residential,No,,$511,29/04/2024,"$1,288,000",09/04/2024,"$1,299,999"
"104 - 2280 163 Street, Surrey, BC",4,3,1913 sqft,,2,"$3,589",2016,R2874552,Residential,Yes,,$627,29/04/2024,"$1,185,000",22/04/2024,"$1,199,900"
"407 - 9456 134 Street, Surrey, BC",1,1,640 sqft,,1,,2024,R2839883,Residential,Yes,,$781,,,,
"1410 - 10620 150 Street, Surrey, BC",2,1,1016 sqft,,1,"$1,981",1981,R2853841,Residential,No,,$540,28/04/2024,"$540,000",27/02/2024,"$549,000"
"35 - 17097 64 Avenue, Surrey, BC",3,2,1538 sqft,,2,"$3,457",2004,R2873323,Residential,Yes,,$666,28/04/2024,"$1,020,000",21/04/2024,"$1,024,900"
"23 - 9727 152 B Street, Surrey, BC",3,2,1764 sqft,,2,"$2,739",1990,R2872956,Residential,Yes,,$509,28/04/2024,"$920,000",18/04/2024,"$899,000"
"3101 - 13696 100 Avenue, Surrey, BC",1,1,512 sqft,,1,"$2,003",2017,R2873573,Residential,Yes,,$779,28/04/2024,"$488,000",18/04/2024,"$399,000"
"212 - 9689 140 Street, Surrey, BC",0,1,368 sqft,,0,"$1,540",2020,R2866610,Residential,No,,$815,28/04/2024,"$310,000",04/04/2024,"$299,999"
"5 - 9652 162 A Street, Surrey, BC",4,3,1640 sqft,,2,,2024,R2854143,Residential,Yes,,$627,28/04/2024,"$1,029,900",05/03/2024,"$1,029,900"
"84 - 14356 63a Avenue, Surrey, BC",3,2,1425 sqft,,2,"$3,195",2011,R2873122,Residential,Yes,,$561,28/04/2024,"$833,000",22/04/2024,"$799,900"
"4 - 12940 17 Avenue, Surrey, BC",2,2,1049 sqft,,1,"$2,163",1987,R2873478,Residential,No,,$595,,,,
"9761 126 Street, Surrey, BC",5,2,2770 sqft,,2,"$4,779",1936,R2875844,Residential,Yes,,$576,27/04/2024,"$1,598,000",23/04/2024,"$1,598,000"
"11513 Royal Crescent, Surrey, BC",3,3,2658 sqft,,5,"$4,208",1978,R2871670,Residential,Yes,,$507,27/04/2024,"$1,305,000",16/04/2024,"$1,349,999"
"1006 - 10777 University Drive, Surrey, BC",1,1,485 sqft,,1,"$1,696",2010,R2867726,Residential,Yes,,$824,27/04/2024,"$393,000",07/04/2024,"$399,900"
"203 - 7182 133 A Street, Surrey, BC",3,1,1493 sqft,,2,,1982,R2868552,Residential,No,,$173,27/04/2024,"$245,000",08/04/2024,"$259,000"
"104 - 2151 151 A Street, Surrey, BC",2,2,1004 sqft,,2,"$2,234",2005,R2874178,Residential,Yes,,$616,27/04/2024,"$619,000",21/04/2024,"$619,000"
"6536 187 A Street, Surrey, BC",3,3,2068 sqft,,6,"$5,078",1996,R2875587,Residential,Yes,,$725,27/04/2024,"$1,480,000",25/04/2024,"$1,500,000"
"C203 - 10465 139 Street, Surrey, BC",2,2,799 sqft,,1,,2026,R2877679,Residential,Yes,,$857,27/04/2024,"$684,900",21/04/2024,"$684,900"
"39 - 19180 65 Avenue, Surrey, BC",4,2,1631 sqft,,2,"$3,087",2013,R2873091,Residential,No,,$539,,,,
"5934 183 Street, Surrey, BC",4,3,2433 sqft,,3,"$4,669",1980,R2873489,Residential,No,,$616,27/04/2024,"$1,450,000",21/04/2024,"$1,499,000"
"12209 99 Avenue, Surrey, BC",4,2,1922 sqft,,6,"$4,895",1958,R2875190,Residential,Yes,,$805,,,,
"105 - 1840 E Southmere Crescent, Surrey, BC",1,1,779 sqft,,1,"$1,772",1988,R2874778,Residential,Yes,,$628,27/04/2024,"$489,900",23/04/2024,"$489,900"
"419 - 15268 105 Avenue, Surrey, BC",2,2,960 sqft,,2,"$2,082",1996,R2874788,Residential,Yes,,$567,27/04/2024,"$565,000",23/04/2024,"$544,800"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"26 172 Street, Surrey, BC",5,4,2992 sqft,,5,"$6,024",2020,R2853848,Residential,Yes,,$551,26/04/2024,"$1,620,000",27/02/2024,"$1,649,000"
"215 - 15195 36 Avenue, Surrey, BC",2,2,1117 sqft,,2,"$2,789",2013,R2855905,Residential,Yes,,$742,26/04/2024,"$823,500",04/03/2024,"$829,900"
"16748 19 Avenue, Surrey, BC",7,5,3749 sqft,,2,,2020,R2871423,Residential,Yes,,$533,26/04/2024,"$1,997,500",14/04/2024,"$1,999,000"
"6362 165 A Street, Surrey, BC",7,4,3856 sqft,,4,"$5,665",2003,R2874207,Residential,Yes,,$440,26/04/2024,"$1,705,000",21/04/2024,"$1,699,900"
"16355 Lincoln Woods Court, Surrey, BC",8,3,4755 sqft,,8,"$8,442",2005,R2866107,Residential,Yes,,$670,26/04/2024,"$3,099,000",01/04/2024,"$3,188,000"
"10864 144 A Street, Surrey, BC",1,1,865 sqft,,1,"$4,628",1956,R2873049,Residential,No,,"$1,373",26/04/2024,"$1,150,000",18/04/2024,"$1,188,000"
"17476 64 A Avenue, Surrey, BC",5,4,2443 sqft,,4,"$6,118",2009,R2859684,Residential,Yes,,$634,,,,
,,,1012 sqft,,2,"$2,193",2008,R2873146,Residential,Yes,,$592,,,,
"18665 92 Avenue, Surrey, BC",6,4,4244 sqft,,6,"$5,861",1981,R2869429,Residential,Yes,,$777,26/04/2024,"$3,130,000",09/04/2024,"$3,300,000"
"20 - 3268 156 A Street, Surrey, BC",3,2,1673 sqft,,2,"$3,705",2009,R2874162,Residential,Yes,,$609,26/04/2024,"$1,068,670",22/04/2024,"$1,019,900"
"212 - 10168 149 Street, Surrey, BC",1,1,577 sqft,,1,"$1,849",2019,R2874516,Residential,Yes,,$866,26/04/2024,"$495,000",22/04/2024,"$499,999"
"136 - 10838 City Parkway, Surrey, BC",1,1,688 sqft,,1,"$1,871",2005,R2872736,Residential,Yes,,$697,,,,
"1840 140 A Street, Surrey, BC",3,2,1649 sqft,,4,"$5,307",1986,R2874216,Residential,Yes,,"$1,000",26/04/2024,"$1,640,000",21/04/2024,"$1,649,000"
"307 - 10130 139 Street, Surrey, BC",2,2,1147 sqft,,1,"$2,091",1999,R2867016,Residential,Yes,,$523,26/04/2024,"$600,000",02/04/2024,"$599,999"
"336 172 Street, Surrey, BC",5,3,2603 sqft,,2,"$4,620",2010,R2851817,Residential,Yes,,$537,25/04/2024,"$1,360,000",20/02/2024,"$1,399,999"
"12018 56 Avenue, Surrey, BC",5,5,3867 sqft,,6,"$7,027",2019,R2868104,Residential,Yes,,$620,25/04/2024,"$2,365,000",07/04/2024,"$2,399,000"
"405 - 13900 Hyland Road, Surrey, BC",4,2,2099 sqft,,2,"$3,239",1992,R2867593,Residential,Yes,,$428,25/04/2024,"$895,000",07/04/2024,"$898,880"
"27 - 15030 28 Avenue, Surrey, BC",4,3,2045 sqft,,2,"$3,735",2022,R2866725,Residential,Yes,,$625,25/04/2024,"$1,245,000",08/04/2024,"$1,279,900"
"8499 156 A Street, Surrey, BC",3,3,2994 sqft,,6,"$5,368",1993,R2865805,Residential,Yes,,$584,25/04/2024,"$1,685,000",02/04/2024,"$1,749,888"
"16777 85 A Avenue, Surrey, BC",8,4,3758 sqft,,6,"$6,573",1997,R2873045,Residential,Yes,,$488,25/04/2024,"$1,800,000",21/04/2024,"$1,835,000"
"13048 65 A Avenue, Surrey, BC",4,2,1886 sqft,,4,"$4,543",1986,R2871895,Residential,Yes,,$630,25/04/2024,"$1,185,000",16/04/2024,"$1,189,000"
"17964 58 Avenue, Surrey, BC",5,3,2148 sqft,,6,"$4,595",1970,R2873929,Residential,Yes,,$674,,,,
"309 - 7435 121 A Street, Surrey, BC",2,2,1085 sqft,,1,"$2,047",1994,R2861271,Residential,Yes,,$542,25/04/2024,"$585,000",09/04/2024,"$588,800"
"70 - 3500 144 Street, Surrey, BC",3,2,2413 sqft,,2,"$4,389",2002,R2874868,Residential,Yes,,$569,25/04/2024,"$1,425,000",22/04/2024,"$1,375,000"
"312 - 13339 102 A Avenue, Surrey, BC",0,1,479 sqft,,0,"$1,647",2009,R2870574,Residential,Yes,,$626,25/04/2024,"$355,000",14/04/2024,"$299,999"
"18616 64 A Avenue, Surrey, BC",4,2,2634 sqft,,5,"$5,136",1996,R2871168,Residential,Yes,,$568,,,,
"14984 Southmere Close, Surrey, BC",2,2,1268 sqft,,3,"$4,160",1984,R2874481,Residential,Yes,,$906,25/04/2024,"$1,151,000",21/04/2024,"$1,149,000"
"3543 Rosemary Heights Drive, Surrey, BC",6,4,3624 sqft,,4,"$6,117",2007,R2873329,Residential,Yes,,$601,25/04/2024,"$2,100,000",21/04/2024,"$2,180,000"
"16418 60 Avenue, Surrey, BC",5,3,2700 sqft,,2,"$4,320",2005,R2870377,Residential,Yes,,$444,25/04/2024,"$1,265,000",14/04/2024,"$1,198,888"
"6998 149 Street, Surrey, BC",9,6,4358 sqft,,4,"$6,948",2016,R2868401,Residential,Yes,,$458,25/04/2024,"$1,985,000",08/04/2024,"$1,999,800"
"3405 - 13308 Central Avenue, Surrey, BC",2,2,1010 sqft,,2,"$1,767",2018,R2866796,Residential,Yes,,$791,,,,
"14123 113 A Avenue, Surrey, BC",4,2,1841 sqft,,6,"$4,603",1958,R2852888,Residential,Yes,,$759,24/04/2024,"$1,320,000",25/02/2024,"$1,399,000"
"2061 139 Street, Surrey, BC",5,5,5112 sqft,,8,"$9,095",2003,R2869217,Residential,Yes,,$622,,,,
"203 - 15299 17 A Avenue, Surrey, BC",2,2,1171 sqft,,2,"$2,449",2007,R2864931,Residential,Yes,,$546,24/04/2024,"$620,000",01/04/2024,"$639,900"
"16711 108 Avenue, Surrey, BC",6,3,3843 sqft,,6,"$5,640",2001,R2868077,Residential,Yes,,$520,24/04/2024,"$1,965,000",07/04/2024,"$1,999,000"
"9041 137a Street, Surrey, BC",4,2,1777 sqft,,4,"$4,998",1987,R2871266,Residential,Yes,,$844,24/04/2024,"$1,370,000",15/04/2024,"$1,500,000"
"16493 63 Avenue, Surrey, BC",5,4,3505 sqft,,4,"$6,336",2014,R2855022,Residential,Yes,,$456,24/04/2024,"$1,610,000",05/03/2024,"$1,599,000"
"12593 115 Avenue, Surrey, BC",2,1,782 sqft,,4,"$4,064",1946,R2868256,Residential,No,,"$1,480",24/04/2024,"$1,120,000",06/04/2024,"$1,158,000"
"22 - 3039 156 Street, Surrey, BC",3,2,1372 sqft,,2,"$3,371",2013,R2874974,Residential,Yes,,$640,24/04/2024,"$879,000",23/04/2024,"$879,000"
"12615 17 A Avenue, Surrey, BC",4,3,3422 sqft,,4,"$6,264",1990,R2869147,Residential,Yes,,$525,,,,
"2803 - 13325 102a Avenue, Surrey, BC",0,1,400 sqft,,1,,2013,R2869376,Residential,Yes,,$722,24/04/2024,"$300,000",07/04/2024,"$289,000"
"15798 Mcbeth Road, Surrey, BC",3,1,1977 sqft,,2,"$2,756",1979,R2865633,Residential,No,,$379,24/04/2024,"$735,000",02/04/2024,"$750,000"
"118 - 14968 101 A Avenue, Surrey, BC",2,2,892 sqft,,1,"$2,308",2019,R2864851,Residential,Yes,,$728,24/04/2024,"$640,000",01/04/2024,"$649,800"
"38 - 12738 66 Avenue, Surrey, BC",3,2,1419 sqft,,2,"$2,660",2004,R2870152,Residential,Yes,,$598,24/04/2024,"$849,900",11/04/2024,"$849,900"
"16952 40 Avenue, Surrey, BC",2,1,1179 sqft,,0,"$5,560",9999,R2872319,Residential,No,,"$2,713",24/04/2024,"$2,907,000",17/04/2024,"$3,199,000"
"802 - 13399 104 Avenue, Surrey, BC",2,1,765 sqft,,1,"$2,022",2009,R2859845,Residential,Yes,,$692,24/04/2024,"$510,000",13/03/2024,"$530,000"
"12994 112 Avenue, Surrey, BC",4,1,1344 sqft,,5,"$4,988",1964,R2859595,Residential,Yes,,"$1,227",24/04/2024,"$1,500,000",13/03/2024,"$1,650,000"
"1701 - 13685 102 Avenue, Surrey, BC",1,1,452 sqft,,1,"$1,847",2022,R2847524,Residential,Yes,,"$1,061",24/04/2024,"$480,000",08/02/2024,"$480,000"
"418 - 10707 139 Street, Surrey, BC",2,2,915 sqft,,1,"$2,224",2008,R2867592,Residential,Yes,,$644,24/04/2024,"$574,000",07/04/2024,"$589,900"
"17109 85 Avenue, Surrey, BC",9,6,5296 sqft,,8,"$7,546",2006,R2872562,Residential,Yes,,$445,24/04/2024,"$2,275,000",18/04/2024,"$2,360,000"
"2088 138 Street, Surrey, BC",6,7,6224 sqft,,9,"$8,538",1999,R2857667,Residential,Yes,,$560,24/04/2024,"$3,260,000",11/03/2024,"$3,490,000"
"109 - 15988 26 Avenue, Surrey, BC",2,2,996 sqft,,1,"$2,285",2008,R2869076,Residential,Yes,,$641,24/04/2024,"$629,000",10/04/2024,"$638,900"
"503 - 15351 101 Avenue, Surrey, BC",1,1,583 sqft,,1,"$1,940",2019,R2875244,Residential,Yes,,$855,24/04/2024,"$498,000",24/04/2024,"$499,000"
"25 - 2958 159th Street, Surrey, BC",4,3,1779 sqft,,2,"$3,851",2016,R2839587,Residential,Yes,,$674,23/04/2024,"$1,160,000",04/01/2024,"$1,199,900"
,,,,,,,,,,Yes,,$806,,,,
"12832 114 Avenue, Surrey, BC",2,1,1195 sqft,,3,"$4,002",1946,R2872347,Residential,No,,$905,23/04/2024,"$1,050,000",16/04/2024,"$1,082,500"
"278 172a Street, Surrey, BC",5,3,2494 sqft,,2,"$5,586",2010,R2870342,Residential,Yes,,$601,23/04/2024,"$1,495,000",13/04/2024,"$1,499,900"
"405 - 10788 139 Street, Surrey, BC",2,2,893 sqft,,2,"$2,187",2007,R2846414,Residential,Yes,,$716,,,,
